"Номенклатурный номер";"Наименование";"Бренд";"Кол-во";"Цена, RUB";"Дата доставки";"Сумма, RUB"
"9000629224";"TECAP, 68мкФ, 10В, тип B, 10%, Конденсатор танталовый SMD";"Китай";3;25,00;"26 октября";75,00
"9001567593";"TECAP, 10мкФ, 16В, тип A, 10%, 293D106X9016A2TE3, Конденсатор танталовый SMD";"Vishay";2;15,00;"26 октября";30,00
"8015927095";"CM4012M00012T8188120, 12MHz 12pF 150- ±10ppm ±30ppm -40-~+85- SMD2520-4P Crystals";"Jingweite Electronic";5;28,00;"27 ноября";140,00
"9000355356";"SS14, Диод Шоттки 1A 40В [SMA / DO-214AC]";"ON Semiconductor";1;18,00;"22 октября";18,00
"9001276074";"S8050, Транзистор NPN 25В 0.5А HFE=120…400 0.3Вт [SOT-23-3]";"Hottech";10;2,00;"26 октября";20,00
"9000576811";"КТ231А9 (202*г), Транзистор NPN, 0.1А, 45В, h21e=110…800 [КТ-46 / SOT-23] (ВС847)";"Кремний";5;4,00;"26 октября";20,00
"9001728968";"1N4001W, Диод выпрямительный 1А 50В [SOD-123FL.]";"EVVO";5;0,90;"26 октября";4,50
"9001105993";"MMBT3904, Транзистор NPN 40В 0.2А [SOT-23-3]";"UMW";10;2,00;"26 октября";20,00
"9001276136";"MMBT4401, Транзистор NPN 40В 0.6А HFE=100…300 0.3Вт [SOT-23-3]";"Hottech";10;2,00;"26 октября";20,00
"8008023017";"SMF05C";"TECH PUBLIC";5;4,00;"27 октября";20,00
"8019862549";"L-KLS7-TS3606B-3.5-180-B";"KLS";5;6,00;"27 октября";30,00
"8017331168";"BZT52C6V8-7-F, Диод: стабилитрон, 0,37Вт, 6,8В, SMD, бобина, лента, SOD123";"Diodes";3;8,00;"27 октября";24,00
"9001169142";"MIC29302WU, LDO-стабилизатор напряжения, ADJ, 3А [TO-263-5]";"UMW";1;120,00;"26 октября";120,00
"8015870032";"2TJ412000XYGBC, 12MHz SMD Crystal Resonator 18pF 150- ±10ppm ±30ppm -40-~+85- SMD2520-4P Crystals";"JYJE";5;9,00;"27 ноября";45,00
"";;;;;"Сумма товаров в заказе, RUB";586,50
"";;;;;"Кол-во товаров в заказе";14
